@relation quiebras-spain-2005-clean

@attribute TAMANO numeric % SIZE
@attribute ' CNAE_3' numeric % NATIONAL CODE OF THE COMPANY
@attribute ' EJERCICIO' numeric %  FISCAL YEAR
@attribute ' ANTIGUEDAD' numeric % AGE
@attribute ' AUDITADA' numeric % AUDITED
@attribute ' COD_FORMASOC' numeric % SOCIAL CODE OF THE COMPANY
@attribute ' COD_PROVINCIA' numeric % CODE OF PROVINCE
@attribute ' COM_END' numeric % Debt structure
@attribute ' COS_END' numeric % Debt cost
@attribute ' DISPONIBILIDAD' numeric  % DEB PAYING AVAILABILITY
@attribute ' FON_MAN' numeric % WORKING CAPITAL
@attribute ' GARANTIA' numeric % WARRANTY
@attribute ' MARGEN' numeric % OPERATING INCOME MARGIN
@attribute ' NIV_END' numeric % DEBT RATIO
@attribute ' REC_GEN' numeric % RETURN ON OPERATING ASSETS
@attribute ' REN_ECO' numeric % STOCK TURNOVER?
@attribute ' REN_FIN' numeric % RETURN ON EQUITY
@attribute ' REN_TOT' numeric % RETURN ON ASSETS
@attribute ' ROT_ACT' numeric % ASSET TURNOVER
@attribute ' ROT_DER' numeric % RECEIVABLE TURNOVER
@attribute ' SOLVENCIA' numeric % FINANCIAL SOLVENCY (CURRENT RATIO)
@attribute ' TES_ACI' numeric % ACID TEST
@attribute ' IMP_HIST_INC_JUDICIALES' numeric % HISTORIC AMOUNT OF MONEY SPENT ON JUDICIAL INCIDENCES
@attribute ' IMP_INC_JUDICIALES' numeric % AMOUNT OF MONEY SPENT ON JUDICIAL INCIDENCES (LAST YEAR)
@attribute ' NUM_CAMBIOS' numeric % NUMBER OF CHANGES OF LOCATION
@attribute ' NUM_EMPLEADOS' numeric % NUMBER OF EMPLOYEES
@attribute ' NUM_HIST_INC_GRAVES' numeric % HISTORIC NUMBER OF SERIOUS INCIDENCES
@attribute ' NUM_HIST_INC_JUDICIALES' numeric % HISTORIC NUMBER OF JUDICIAL INCIDENCES
@attribute ' NUM_INC_JUDICIALES' numeric % NUMBER OF JUDICIAL INCIDENCES (LAST YEAR)
@attribute ' NUM_ORG_SOC_ACTIVOS' numeric % NUMBER OF PARTNERS
@attribute ' OPI_AUDITORIA' numeric % OPINION OF THE AUDITORY
@attribute ' RETRASO' numeric % DELAY (IN SENDING ITS ANNUAL ACCOUNTS)
@attribute ' VINC_GRUPO' numeric % LINKED TO A GROUP
@attribute ' FALLIDA3' numeric % FINANCIAL FAILURE
@attribute ' Pérdidas' {0,1} % BOOK LOSSES

@data
1,4,2003,22,1,3,20,4,2.835732,0.076331,-0.003142,1.909542,0.35185,1.099454,0.308628,0.325064,28.654253,14.292879,0.92387,10.107222,0.971831,0.95875,0,0,1,31,1,1,0,11,0,0,0,0,0
1,4,1998,17,1,3,20,1,9.820211,0.015612,-0.207032,1.097072,-9.266865,10.301645,0.018788,-8.281355,-44.978622,3.265822,0.89365,3.792108,0.540135,0.537964,0,0,1,30,1,1,1,11,0,0,0,0,0
1,1,1998,8,1,3,7,0,1.579943,0.15237,0.208826,2.416816,6.723598,0.705808,3.744887,14.937228,13.998199,13.630052,2.22161,4.895075,1.522776,1.213038,0,0,1,24,0,0,0,15,0,0,0,0,0
1,1,2000,10,1,3,7,0,1.776042,0.204959,0.253139,2.594705,5.595449,0.627075,1.426127,11.107988,11.250384,10.93752,1.98518,4.180646,1.742043,1.40171,0,0,1,31,0,0,0,15,0,0,0,0,0
1,1,2003,13,1,3,7,0,3.645784,0.09659,0.112324,2.500023,3.294291,0.666656,0.704613,5.36781,5.250627,6.11865,1.62943,4.258551,1.318786,1.081282,0,0,1,33,0,0,0,15,0,0,0,0,0
1,1,1999,9,1,3,7,0,2.249019,0.170646,0.279042,2.412362,10.769791,0.708034,1.680481,22.927086,23.256058,21.825071,2.12883,4.911561,1.78798,1.461302,0,0,1,31,0,0,0,15,1,0,0,0,0
1,1,2002,12,1,3,7,0,4.252629,0.106328,0.155032,2.517415,4.974507,0.659016,0.424479,8.160022,6.36791,7.260295,1.64037,4.086074,1.487574,1.200605,0,0,1,33,0,0,0,15,1,0,0,0,0
1,1,2001,11,1,3,7,0,1.799358,0.109438,0.175256,2.497722,4.067376,0.667681,0.43251,7.277384,8.918141,8.777019,1.78921,4.143517,1.602316,1.284153,0,0,1,31,0,0,0,15,0,1,0,0,0
1,4,2002,10,1,3,15,0,0.455519,0.000005,-3.765761,0.244415,-316.619995,-1.323478,-1.187535,-110.379784,-21.972317,-78.843697,0.34862,1.241211,0.069373,0.069373,0,0,1,0,0,0,0,7,0,0,0,0,1
1,4,2003,11,1,3,15,0,1.69253,0.000003,-3.500888,0.241248,-73.411896,-1.317954,-1.940959,-76.920609,-28.615715,-94.762688,1.04779,3.194139,0.153184,0.153184,0,0,1,0,0,0,0,7,0,0,0,0,1
1,4,2000,8,1,3,15,0,3.330559,0.008958,-2.146062,0.41194,-181.245285,-1.700506,-5.58803,-100.067581,-286.930847,-110.675194,0.55211,0.383859,0.115467,0.115467,0,0,1,57,0,0,0,7,0,1,0,0,1
1,4,2001,9,1,3,15,0,2.461226,0.008957,-2.14606,0.41194,-181.245529,-1.700506,-0.616859,-162.570892,-106.756523,-179.87207,0.89697,3.469636,0.115467,0.115467,0,0,1,57,0,0,0,7,0,1,0,0,1
1,4,1999,7,1,3,15,0,4.451393,0.081922,-0.061242,1.939549,-120.113487,1.06434,1.056359,-81.246216,4.700186,3.628138,0.67641,2.022017,0.881217,0.881217,0,0,1,58,0,0,0,7,0,1,0,0,1
1,4,1998,6,1,3,15,0,1.411023,0.35328,0.162517,3.262203,3.642555,0.442047,2.207582,6.190063,2.482966,1.591347,1.69937,4.912652,1.591379,1.591379,0,0,1,87,0,0,0,7,0,1,0,0,1
1,2,2003,10,0,2,28,0,0.76298,0.048329,-1.133691,0.474332,-92.618515,-1.902342,-0.728252,-44.966763,-536.379089,-43.646374,0.48551,-1.021977,0.462254,0.462254,0,0,0,1,0,0,0,0,0,0,0,0,0
1,2,1998,5,0,2,28,0,3.500719,0.202384,-0.416395,0.681795,6.203616,-3.142632,0.195925,35.884895,-43.55965,34.177383,5.78451,12.43908,0.633872,0.633872,0,0,0,1,0,0,0,0,0,0,0,0,0
1,2,1999,6,0,2,28,0,3.127178,0.105647,-0.247966,0.793396,0.03324,-4.840166,0.017024,0.166305,-8.433943,0.160907,5.00317,8.582987,0.782691,0.782691,0,0,0,1,0,0,0,0,0,0,0,0,0
1,2,2001,8,0,2,28,0,0.829111,0.537119,-0.236111,0.871335,1.737542,-7.77211,0.152168,9.709229,-26.932053,8.170171,5.58791,11.639985,0.792256,0.792256,0,0,0,1,0,0,0,0,0,0,0,0,0
1,2,2000,7,0,2,28,0,2.366536,0.264269,-0.229396,0.824912,8.952704,-5.711421,0.256673,25.701763,-68.914749,26.853762,2.87084,3.305952,0.792263,0.792263,0,0,0,1,0,0,0,0,0,0,0,0,0
1,2,2002,9,0,2,28,0,0.193086,0.097595,0.003505,1.057071,6.873934,17.522001,0.13777,20.906084,1943.895508,21.752485,3.04136,6.011603,1.003705,0.982281,0,0,0,1,0,0,0,0,0,0,0,0,0
1,2,2002,3,0,2,3,0,1.336602,0.002661,0.010407,1.012397,18.955557,80.662926,0.006668,2.472764,44.121647,2.472749,0.13045,5.826757,1.010682,0.023203,0,0,0,0,0,0,0,1,0,0,0,0,0
1,2,2001,2,0,2,3,0,4.737016,0.00511,0.052943,1.055903,16.604877,17.888067,0.047332,10.264717,140.503937,10.26368,0.61817,12.177197,1.055903,0.063539,0,0,0,0,0,0,0,1,0,0,0,0,0
1,3,2003,8,0,2,3,0,8.094422,-0.013953,0.255307,1.26617,5.326185,3.757002,0.062517,8.82885,17.346916,11.481468,1.65763,14.435656,1.377062,0.080461,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1,1999,1,0,2,3,0,1.628246,0.00714,-0.214599,0.975476,0.218875,-40.776348,0.06742,0.431535,-239.19635,6.61976,1.97161,19.623821,0.75553,0.118296,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1,2001,3,0,2,40,0,1.164186,0,-0.100375,0.927175,-0.695233,-13.731619,-0.019722,-0.706469,-33.355202,-0.69652,1.01616,5.637585,0.906935,0.121334,0,0,0,0,0,0,0,1,0,0,0,0,0
1,3,1999,4,0,2,3,0,7.44969,0.044958,-0.003515,1.129708,1.876536,7.709627,0.058804,3.990328,30.974562,11.779758,2.12643,12.187717,0.995866,0.189768,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1,2000,2,0,2,40,0,7.712478,0.000031,-0.080397,0.944992,-3.579049,-18.179148,-0.084346,-7.525606,-667.499146,-7.354118,2.10268,8.034284,0.924025,0.190515,0,0,0,0,0,0,0,1,0,0,0,0,0
1,3,2001,6,0,2,3,0,7.141975,0.019828,0.097955,1.195903,5.892917,5.104562,0.067758,11.81741,29.509079,12.050846,2.00536,8.913601,1.122024,0.22746,0,0,0,0,0,0,0,1,0,0,0,0,0
1,3,1998,3,0,2,3,0,5.756756,0.003255,-0.036064,1.116136,1.996127,8.610594,0.054236,4.022988,36.960194,10.020734,2.0154,6.655208,0.959132,0.265158,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1,1998,0,0,2,3,0,0.219647,0.143322,-0.279644,1.036175,-2.608001,27.643616,0.011333,-1.069547,-4.796548,0.044523,0.4101,2.825449,0.71024,0.291064,0,0,0,0,0,0,0,1,0,0,0,0,0
1,2,1999,1,0,2,21,0,3.521464,0.170104,-0.089437,1.063203,3.362093,15.822154,0.035032,5.488436,21.5508,5.718156,1.63245,12.798984,0.893021,0.34417,0,0,0,0,0,0,0,1,0,0,0,0,0
1,3,2000,5,0,2,3,0,6.69266,0.034443,0.042112,1.139961,4.938292,7.144849,0.059566,10.579398,29.121683,11.091964,2.14232,11.681481,1.049941,0.347003,0,0,0,0,0,0,0,1,0,0,0,0,0
1,2,1998,0,0,2,21,0,0.925229,0.055409,-0.064697,1.07514,3.365936,13.308433,0.015481,2.001433,8.173368,1.706207,0.59461,5.457985,0.929223,0.349798,0,0,0,0,0,0,0,1,0,0,0,0,0
1,2,2002,4,0,2,21,0,4.975499,0.100502,-0.145314,1.115317,5.44645,8.671722,0.06867,8.161963,13.770692,6.334502,1.49858,4.400774,0.837929,0.492459,0,0,0,0,0,0,0,1,0,0,0,0,0
1,2,2003,5,0,2,21,0,6.566916,0.18603,-0.149344,1.170331,4.182597,5.870926,0.096979,11.368056,21.195074,9.497268,2.71794,16.16198,0.825218,0.501909,0,0,0,0,0,0,0,1,0,0,0,0,0
1,2,2001,3,0,2,21,0,6.497978,0.001309,-0.108095,1.089517,3.860662,11.171036,0.066421,10.303267,25.072218,8.347445,2.66878,7.462808,0.878447,0.610277,0,0,0,0,0,0,0,1,0,0,0,0,0
1,2,2000,2,0,2,21,0,8.094667,0.150283,-0.084805,1.05126,3.311372,19.508463,0.045802,12.30389,40.655632,10.687026,3.71565,18.375505,0.90604,0.616045,0,0,0,0,0,0,0,1,0,0,0,0,0
1,3,1998,6,0,2,10,0,3.296829,0.035342,-0.097402,0.911558,3.61061,-11.306818,0.122297,19.026005,-47.596119,17.464897,5.26947,11.563621,0.904993,0.633212,0,0,0,0,0,0,0,1,0,0,0,0,0
1,2,1999,4,0,2,30,0,2.096657,0.047545,-0.219963,1.118309,2.940412,8.452457,0.108529,2.861596,30.508032,6.679831,0.9732,1.889598,0.678978,0.678978,0,0,0,0,0,0,0,1,0,0,0,0,0
1,3,1999,7,0,2,10,0,2.967151,0.06229,-0.056407,0.952834,1.621478,-21.201614,0.036471,6.967383,-34.804699,6.656299,4.29693,8.006553,0.937127,0.690903,0,0,0,0,0,0,0,1,0,0,0,0,0
1,2,1998,3,0,2,30,0,2.791627,0.027818,-0.177799,1.131947,6.614398,7.578783,0.108654,6.426206,30.302114,7.512239,0.97155,1.641827,0.775383,0.775383,0,0,0,0,0,0,0,1,0,0,0,0,0
1,2,2000,5,0,2,30,0,2.697961,0.029657,-0.161317,1.108906,4.657217,9.182252,0.093731,4.426801,14.59347,4.542077,0.95053,2.41708,0.785713,0.785713,0,0,0,0,0,0,0,1,0,0,0,0,0
1,2,2001,6,0,2,30,0,2.71648,0.055712,-0.092438,1.108978,4.539871,9.176192,0.105361,5.503325,23.065525,5.686779,1.21222,2.330367,0.885957,0.885957,0,0,0,0,0,0,0,1,0,0,0,0,0
1,2,2002,7,0,2,30,0,1.507133,0.047235,-0.063429,1.106984,3.721803,9.347151,0.098405,3.754474,18.845592,3.990323,1.00878,1.712586,0.924061,0.924061,0,0,0,0,0,0,0,1,0,0,0,0,0
1,4,1998,0,0,2,8,0,0.068421,0.066616,0.020037,1.027678,1.350584,36.130211,0.009961,1.451262,35.990005,1.451279,1.07454,1.258022,1.020591,0.94441,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1,2002,4,0,2,40,0,2.177418,0.496903,-0.031565,1.063862,6.060252,15.65879,0.233835,17.530624,-435.103729,16.976814,2.89272,12.501052,0.966419,0.966419,0,0,0,0,0,0,0,1,0,0,0,0,0
1,3,1998,0,0,2,46,0,1.00856,0.525225,0.05345,1.056469,4.518375,17.708965,0.042778,6.737564,75.755547,6.739163,1.49115,3.266832,1.056469,1.007451,0,0,0,0,0,0,0,1,0,0,0,0,0
