@relation bankruptcy-spain-1998:2003

@attribute YEAR integer   %  FISCAL YEAR
@attribute SIZE {small,medium,big}   % SIZE
@attribute NUMBER_EMPLOYEES integer   % NUMBER OF EMPLOYEES
@attribute AGE integer   % AGE
@attribute SOCIAL_CODE {Co,Ltd,other}   % SOCIAL CODE OF THE COMPANY
@attribute LINKED_GROUP {no,yes}   % LINKED TO A GROUP
@attribute NUMBER_PARTNERS integer   % NUMBER OF PARTNERS
@attribute PROVINCE_CODE {1,2,3,6,7,8,9,10,11,12,13,14,15,16,17,18,20,21,22,24,25,26,27,28,29,30,31,32,33,35,36,37,38,39,40,41,43,45,46,47,48,49,50,52}   % CODE OF PROVINCE
@attribute CHANGES_LOCATION integer   % NUMBER OF CHANGES OF LOCATION
@attribute DEBT_STRUCTURE numeric   % DEBT STRUCTURE
@attribute DEBT_COST numeric   % DEBT COST
@attribute DEBT_PAYING_AVAILABILITY numeric    % DEBT PAYING AVAILABILITY
@attribute DEBT_RATIO numeric   % DEBT RATIO
@attribute WORKING_CAPITAL numeric   % WORKING CAPITAL
@attribute WARRANTY numeric   % WARRANTY
@attribute OPERATING_INCOME_MARGIN numeric   % OPERATING INCOME MARGIN
@attribute RETURN_OPERATING_ASSETS numeric   % RETURN ON OPERATING ASSETS
@attribute RETURN_EQUITY numeric   % RETURN ON EQUITY
@attribute RETURN_ASSETS numeric   % RETURN ON ASSETS
@attribute STOCK_TURNOVER numeric   % STOCK TURNOVER
@attribute ASSET_TURNOVER numeric   % ASSET TURNOVER
@attribute RECEIVABLE_TURNOVER numeric   % RECEIVABLE TURNOVER
@attribute ASSET_ROTATION numeric   % ASSET ROTATION
@attribute FINANCIAL_SOLVENCY numeric   % FINANCIAL SOLVENCY (CURRENT RATIO)
@attribute ACID_TEST numeric   % ACID TEST
@attribute DELAY_ACCOUNTS {no,yes}   % DELAY (IN SENDING ITS ANNUAL ACCOUNTS)
@attribute NUMBER_JUDICIAL_INCIDENCES_TOTAL integer   % HISTORIC NUMBER OF JUDICIAL INCIDENCES
@attribute NUMBER_JUDICIAL_INCIDENCES_YEAR integer   % NUMBER OF JUDICIAL INCIDENCES (LAST YEAR)
@attribute SPENT_JUDICIAL_INCIDENCES_TOTAL numeric   % HISTORIC AMOUNT OF MONEY SPENT ON JUDICIAL INCIDENCES
@attribute SPENT_JUDICIAL_INCIDENCES_YEAR numeric   % AMOUNT OF MONEY SPENT ON JUDICIAL INCIDENCES (LAST YEAR)
@attribute NUMBER_SERIOUS_INCIDENCES integer   % HISTORIC NUMBER OF SERIOUS INCIDENCES
@attribute AUDITED {no,yes}   % AUDITED
@attribute AUDITORS_OPINION {nothing,positive,minor,negative}   % OPINION OF THE AUDITORY
@attribute BANKRUPTCY {NO,YES}   % FINANCIAL FAILURE

@data
1998,small,7,1,Co,no,4,28,0,0.718529105186,2.306155443192,0.095910720527,6.479102611542,0.411573916674,1.154342412949,4.854507446289,0.092050537467,76.323104858398,14.381312370300,14.290567398071,2.943772792816,9.875521659851,5.100481987000,1.816468358040,0.549710869789,no,0,0,0.00,0.00,0,no,nothing,NO
1998,medium,1,1,Co,no,12,15,0,0.514623701572,0.668141067028,0.027559716254,5.737320899963,-0.384803354740,1.174297332764,-12.471078872681,-0.010880175047,-4.944032669067,-0.541799247265,-0.628752589226,0.050416860729,1.130979180336,17.095640182495,0.315581589937,0.315581589937,no,0,0,0.00,0.00,0,yes,nothing,NO
1998,small,9,31,Co,no,1,33,0,0.074678763747,7.540817737579,0.000000000000,-6.461527347565,-0.328359276056,0.845237851143,-12.306716918945,-0.302806824446,-692.596008300781,-32.279579162598,-33.395397186279,2.713590860367,5.922458171844,10.692535400391,0.701731860638,0.479066938162,no,0,0,0.00,0.00,0,no,nothing,NO
1998,medium,82,7,Ltd,no,4,30,0,0.643675446510,3.482656955719,0.053695835173,1.674389719963,0.198120176792,1.597232580185,-12.735919952393,-0.714160740376,-95.206459045410,-33.351604461670,-28.052244186401,2.202608346939,12.869108200073,6.375309944153,1.520131230354,0.501755356789,no,0,0,0.00,0.00,0,yes,nothing,NO
1998,small,3,2,Ltd,no,2,50,0,0.000000000000,22.792581558228,-0.512758314610,17.038925170898,0.055435672402,1.058689117432,0.621685862541,0.045814454556,73.879318237305,26.013532638550,7.374836921692,11.862643241882,7.991899967194,,1.058689117432,1.058689117432,no,0,0,0.00,0.00,0,no,nothing,NO
1998,small,0,7,Ltd,no,5,17,1,0.277976244688,1.933396816254,1.543375492096,0.615293025970,0.314161479473,2.625241756439,11.258194923401,0.758524179459,35.904834747314,33.306411743164,33.395717620850,2.966347455978,28.739841461182,87.941116333008,2.054010629654,1.976365804672,no,0,0,0.00,0.00,0,no,nothing,NO
1998,small,4,6,Ltd,no,2,17,0,0.000000000000,3.031470775604,0.087499350309,3.251468420029,0.212971195579,1.307553291321,0.888260900974,0.060703068972,9.444024085999,5.735899925232,4.614077091217,5.194506645203,7.236824512482,26.668306350708,1.278471231461,1.026045560837,no,0,0,0.00,0.00,0,no,nothing,NO
1998,small,0,1,Ltd,no,3,26,1,3.963770627975,0.223969489336,0.557293951511,21.418848037720,0.807526409626,1.046687841415,2.557401418686,0.040805764496,87.401252746582,6.211764812469,6.211764812469,2.428936004639,3.321645498276,14.656060218811,5.195518493652,4.356490135193,no,0,0,0.00,0.00,0,no,nothing,NO
1998,medium,0,8,Ltd,yes,4,8,4,0.000000000000,50.641273498535,5.037925720215,0.004612899385,0.987481296062,217.783401489257,,-0.979798555374,-0.450952112675,-0.333646118641,-0.419415205717,0.000000000000,0.000869277341,,216.057022094726,216.057022094726,no,0,0,0.00,0.00,0,yes,nothing,NO
1998,medium,186,41,Co,no,20,8,1,9.202705383301,2.090186119080,0.969634592533,1.526812553406,0.297784626484,1.654959201813,1.223814368248,0.123413853347,-0.927931129932,0.698021173477,0.914110183716,0.746935307980,5.127847194672,4.004940986633,6.028111934662,3.212439298630,yes,0,0,0.00,0.00,0,yes,nothing,YES
